,5m/s,10m/s,20m/s
0,640.0617895687958,1573.451375939942,4194.94801578462
1,1617.8854115077302,5338.481002186826,8827.11717566179
2,2397.1424802494225,9597.387981071925,14217.046829485236
3,3136.46151900178,12441.436414546948,18332.159562749264
4,4308.299575081286,15304.374959333518,20867.737880499717
5,5792.935132372275,18168.438694069293,21825.49898446323
6,7374.432443135509,21028.854581459513,22430.658081902457
7,8861.330230839743,23885.68327250691,24217.25854242288
8,10280.150613338832,26736.750914527547,27236.27455681713
9,11712.401248116152,29574.70401819824,32580.218295738632
10,12892.912189335502,32378.48952914323,41859.58775650243
11,14008.265085436507,35090.40273762631,51563.74170019327
12,15572.40283179447,37555.098905452185,58093.129665903994
13,17383.800074058876,39352.232323354045,62904.01002749373
14,19030.424146615736,39242.08909880766,64613.13650738707
15,17194.477154263535,29850.198316343867,49607.18978962499
